year_month,current_price,old_price,price_diff,product_name,brand,vendor
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-08,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-09,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-09,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-09,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-09,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-09,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-09,4.99,5.99,-1,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-02,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-05,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
